,camion,dia,comuna,value
0,0,0,Arica,1.0
1,0,1,Arica,-0.0
2,0,2,Arica,-0.0
3,0,3,Arica,-0.0
4,0,4,Arica,-0.0
5,0,5,Arica,-0.0
6,0,6,Arica,-0.0
7,0,7,Arica,-0.0
8,0,8,Arica,-0.0
9,0,9,Arica,-0.0
10,0,10,Arica,-0.0
11,0,11,Arica,-0.0
12,0,12,Arica,-0.0
13,0,13,Arica,-0.0
14,0,14,Arica,-0.0
15,0,15,Arica,-0.0
16,0,16,Arica,-0.0
17,0,17,Arica,-0.0
18,0,18,Arica,-0.0
19,0,19,Arica,-0.0
20,0,20,Arica,-0.0
21,0,21,Arica,-0.0
22,0,22,Arica,-0.0
23,0,23,Arica,-0.0
24,0,24,Arica,-0.0
25,0,25,Arica,-0.0
26,0,26,Arica,-0.0
27,0,27,Arica,-0.0
28,0,28,Arica,-0.0
29,0,29,Arica,-0.0
30,0,30,Arica,-0.0
31,0,31,Arica,-0.0
32,0,32,Arica,-0.0
33,0,33,Arica,-0.0
34,0,34,Arica,-0.0
35,0,35,Arica,-0.0
36,0,36,Arica,-0.0
37,0,37,Arica,-0.0
38,0,38,Arica,-0.0
39,0,39,Arica,-0.0
40,0,40,Arica,-0.0
41,0,41,Arica,-0.0
42,0,42,Arica,-0.0
43,0,43,Arica,-0.0
44,0,44,Arica,-0.0
45,0,45,Arica,-0.0
46,0,0,Camarones,-0.0
47,0,1,Camarones,-0.0
48,0,2,Camarones,-0.0
49,0,3,Camarones,-0.0
50,0,4,Camarones,-0.0
51,0,5,Camarones,-0.0
52,0,6,Camarones,-0.0
53,0,7,Camarones,-0.0
54,0,8,Camarones,-0.0
55,0,9,Camarones,-0.0
56,0,10,Camarones,-0.0
57,0,11,Camarones,-0.0
58,0,12,Camarones,-0.0
59,0,13,Camarones,-0.0
60,0,14,Camarones,-0.0
61,0,15,Camarones,-0.0
62,0,16,Camarones,-0.0
63,0,17,Camarones,-0.0
64,0,18,Camarones,-0.0
65,0,19,Camarones,-0.0
66,0,20,Camarones,-0.0
67,0,21,Camarones,-0.0
68,0,22,Camarones,-0.0
69,0,23,Camarones,-0.0
70,0,24,Camarones,-0.0
71,0,25,Camarones,-0.0
72,0,26,Camarones,-0.0
73,0,27,Camarones,-0.0
74,0,28,Camarones,-0.0
75,0,29,Camarones,-0.0
76,0,30,Camarones,-0.0
77,0,31,Camarones,-0.0
78,0,32,Camarones,-0.0
79,0,33,Camarones,-0.0
80,0,34,Camarones,-0.0
81,0,35,Camarones,-0.0
82,0,36,Camarones,-0.0
83,0,37,Camarones,-0.0
84,0,38,Camarones,-0.0
85,0,39,Camarones,-0.0
86,0,40,Camarones,-0.0
87,0,41,Camarones,-0.0
88,0,42,Camarones,-0.0
89,0,43,Camarones,-0.0
90,0,44,Camarones,-0.0
91,0,45,Camarones,-0.0
92,0,0,Putre,-0.0
93,0,1,Putre,-0.0
94,0,2,Putre,-0.0
95,0,3,Putre,-0.0
96,0,4,Putre,-0.0
97,0,5,Putre,-0.0
98,0,6,Putre,-0.0
99,0,7,Putre,-0.0
100,0,8,Putre,-0.0
101,0,9,Putre,-0.0
102,0,10,Putre,-0.0
103,0,11,Putre,-0.0
104,0,12,Putre,-0.0
105,0,13,Putre,-0.0
106,0,14,Putre,-0.0
107,0,15,Putre,-0.0
108,0,16,Putre,-0.0
109,0,17,Putre,-0.0
110,0,18,Putre,-0.0
111,0,19,Putre,-0.0
112,0,20,Putre,-0.0
113,0,21,Putre,-0.0
114,0,22,Putre,-0.0
115,0,23,Putre,-0.0
116,0,24,Putre,-0.0
117,0,25,Putre,-0.0
118,0,26,Putre,-0.0
119,0,27,Putre,-0.0
120,0,28,Putre,-0.0
121,0,29,Putre,-0.0
122,0,30,Putre,-0.0
123,0,31,Putre,-0.0
124,0,32,Putre,-0.0
125,0,33,Putre,-0.0
126,0,34,Putre,-0.0
127,0,35,Putre,-0.0
128,0,36,Putre,-0.0
129,0,37,Putre,-0.0
130,0,38,Putre,-0.0
131,0,39,Putre,-0.0
132,0,40,Putre,-0.0
133,0,41,Putre,-0.0
134,0,42,Putre,-0.0
135,0,43,Putre,-0.0
136,0,44,Putre,-0.0
137,0,45,Putre,-0.0
138,0,0,General Lagos,-0.0
139,0,1,General Lagos,-0.0
140,0,2,General Lagos,-0.0
141,0,3,General Lagos,-0.0
142,0,4,General Lagos,-0.0
143,0,5,General Lagos,-0.0
144,0,6,General Lagos,-0.0
145,0,7,General Lagos,-0.0
146,0,8,General Lagos,-0.0
147,0,9,General Lagos,-0.0
148,0,10,General Lagos,-0.0
149,0,11,General Lagos,-0.0
150,0,12,General Lagos,-0.0
151,0,13,General Lagos,-0.0
152,0,14,General Lagos,-0.0
153,0,15,General Lagos,-0.0
154,0,16,General Lagos,-0.0
155,0,17,General Lagos,-0.0
156,0,18,General Lagos,-0.0
157,0,19,General Lagos,-0.0
158,0,20,General Lagos,-0.0
159,0,21,General Lagos,-0.0
160,0,22,General Lagos,-0.0
161,0,23,General Lagos,-0.0
162,0,24,General Lagos,-0.0
163,0,25,General Lagos,-0.0
164,0,26,General Lagos,-0.0
165,0,27,General Lagos,-0.0
166,0,28,General Lagos,-0.0
167,0,29,General Lagos,-0.0
168,0,30,General Lagos,-0.0
169,0,31,General Lagos,-0.0
170,0,32,General Lagos,-0.0
171,0,33,General Lagos,-0.0
172,0,34,General Lagos,-0.0
173,0,35,General Lagos,-0.0
174,0,36,General Lagos,-0.0
175,0,37,General Lagos,-0.0
176,0,38,General Lagos,-0.0
177,0,39,General Lagos,-0.0
178,0,40,General Lagos,-0.0
179,0,41,General Lagos,-0.0
180,0,42,General Lagos,-0.0
181,0,43,General Lagos,-0.0
182,0,44,General Lagos,-0.0
183,0,45,General Lagos,-0.0
184,1,0,Arica,1.0
185,1,1,Arica,-0.0
186,1,2,Arica,-0.0
187,1,3,Arica,-0.0
188,1,4,Arica,-0.0
189,1,5,Arica,-0.0
190,1,6,Arica,-0.0
191,1,7,Arica,-0.0
192,1,8,Arica,-0.0
193,1,9,Arica,-0.0
194,1,10,Arica,-0.0
195,1,11,Arica,-0.0
196,1,12,Arica,-0.0
197,1,13,Arica,-0.0
198,1,14,Arica,-0.0
199,1,15,Arica,-0.0
200,1,16,Arica,-0.0
201,1,17,Arica,-0.0
202,1,18,Arica,-0.0
203,1,19,Arica,-0.0
204,1,20,Arica,-0.0
205,1,21,Arica,-0.0
206,1,22,Arica,-0.0
207,1,23,Arica,-0.0
208,1,24,Arica,-0.0
209,1,25,Arica,-0.0
210,1,26,Arica,-0.0
211,1,27,Arica,-0.0
212,1,28,Arica,-0.0
213,1,29,Arica,-0.0
214,1,30,Arica,-0.0
215,1,31,Arica,-0.0
216,1,32,Arica,-0.0
217,1,33,Arica,-0.0
218,1,34,Arica,-0.0
219,1,35,Arica,-0.0
220,1,36,Arica,-0.0
221,1,37,Arica,-0.0
222,1,38,Arica,-0.0
223,1,39,Arica,-0.0
224,1,40,Arica,-0.0
225,1,41,Arica,-0.0
226,1,42,Arica,-0.0
227,1,43,Arica,-0.0
228,1,44,Arica,-0.0
229,1,45,Arica,-0.0
230,1,0,Camarones,-0.0
231,1,1,Camarones,-0.0
232,1,2,Camarones,-0.0
233,1,3,Camarones,-0.0
234,1,4,Camarones,-0.0
235,1,5,Camarones,-0.0
236,1,6,Camarones,-0.0
237,1,7,Camarones,-0.0
238,1,8,Camarones,-0.0
239,1,9,Camarones,-0.0
240,1,10,Camarones,-0.0
241,1,11,Camarones,-0.0
242,1,12,Camarones,-0.0
243,1,13,Camarones,-0.0
244,1,14,Camarones,-0.0
245,1,15,Camarones,-0.0
246,1,16,Camarones,-0.0
247,1,17,Camarones,-0.0
248,1,18,Camarones,-0.0
249,1,19,Camarones,-0.0
250,1,20,Camarones,-0.0
251,1,21,Camarones,-0.0
252,1,22,Camarones,-0.0
253,1,23,Camarones,-0.0
254,1,24,Camarones,-0.0
255,1,25,Camarones,-0.0
256,1,26,Camarones,-0.0
257,1,27,Camarones,-0.0
258,1,28,Camarones,-0.0
259,1,29,Camarones,-0.0
260,1,30,Camarones,-0.0
261,1,31,Camarones,-0.0
262,1,32,Camarones,-0.0
263,1,33,Camarones,-0.0
264,1,34,Camarones,-0.0
265,1,35,Camarones,-0.0
266,1,36,Camarones,-0.0
267,1,37,Camarones,-0.0
268,1,38,Camarones,-0.0
269,1,39,Camarones,-0.0
270,1,40,Camarones,-0.0
271,1,41,Camarones,-0.0
272,1,42,Camarones,-0.0
273,1,43,Camarones,-0.0
274,1,44,Camarones,-0.0
275,1,45,Camarones,-0.0
276,1,0,Putre,-0.0
277,1,1,Putre,0.0
278,1,2,Putre,0.0
279,1,3,Putre,0.0
280,1,4,Putre,0.0
281,1,5,Putre,0.0
282,1,6,Putre,0.0
283,1,7,Putre,0.0
284,1,8,Putre,0.0
285,1,9,Putre,0.0
286,1,10,Putre,0.0
287,1,11,Putre,0.0
288,1,12,Putre,0.0
289,1,13,Putre,0.0
290,1,14,Putre,0.0
291,1,15,Putre,0.0
292,1,16,Putre,0.0
293,1,17,Putre,0.0
294,1,18,Putre,0.0
295,1,19,Putre,0.0
296,1,20,Putre,0.0
297,1,21,Putre,0.0
298,1,22,Putre,0.0
299,1,23,Putre,0.0
300,1,24,Putre,0.0
301,1,25,Putre,0.0
302,1,26,Putre,0.0
303,1,27,Putre,0.0
304,1,28,Putre,0.0
305,1,29,Putre,0.0
306,1,30,Putre,0.0
307,1,31,Putre,0.0
308,1,32,Putre,0.0
309,1,33,Putre,0.0
310,1,34,Putre,0.0
311,1,35,Putre,0.0
312,1,36,Putre,0.0
313,1,37,Putre,0.0
314,1,38,Putre,0.0
315,1,39,Putre,0.0
316,1,40,Putre,0.0
317,1,41,Putre,0.0
318,1,42,Putre,0.0
319,1,43,Putre,0.0
320,1,44,Putre,0.0
321,1,45,Putre,1.0
322,1,0,General Lagos,-0.0
323,1,1,General Lagos,0.0
324,1,2,General Lagos,-0.0
325,1,3,General Lagos,-0.0
326,1,4,General Lagos,-0.0
327,1,5,General Lagos,-0.0
328,1,6,General Lagos,-0.0
329,1,7,General Lagos,-0.0
330,1,8,General Lagos,-0.0
331,1,9,General Lagos,-0.0
332,1,10,General Lagos,-0.0
333,1,11,General Lagos,-0.0
334,1,12,General Lagos,-0.0
335,1,13,General Lagos,-0.0
336,1,14,General Lagos,-0.0
337,1,15,General Lagos,-0.0
338,1,16,General Lagos,-0.0
339,1,17,General Lagos,-0.0
340,1,18,General Lagos,-0.0
341,1,19,General Lagos,-0.0
342,1,20,General Lagos,-0.0
343,1,21,General Lagos,-0.0
344,1,22,General Lagos,-0.0
345,1,23,General Lagos,-0.0
346,1,24,General Lagos,-0.0
347,1,25,General Lagos,-0.0
348,1,26,General Lagos,-0.0
349,1,27,General Lagos,-0.0
350,1,28,General Lagos,-0.0
351,1,29,General Lagos,-0.0
352,1,30,General Lagos,-0.0
353,1,31,General Lagos,-0.0
354,1,32,General Lagos,-0.0
355,1,33,General Lagos,-0.0
356,1,34,General Lagos,-0.0
357,1,35,General Lagos,-0.0
358,1,36,General Lagos,-0.0
359,1,37,General Lagos,-0.0
360,1,38,General Lagos,-0.0
361,1,39,General Lagos,-0.0
362,1,40,General Lagos,-0.0
363,1,41,General Lagos,-0.0
364,1,42,General Lagos,-0.0
365,1,43,General Lagos,-0.0
366,1,44,General Lagos,-0.0
367,1,45,General Lagos,-0.0
368,2,0,Arica,1.0
369,2,1,Arica,-0.0
370,2,2,Arica,-0.0
371,2,3,Arica,-0.0
372,2,4,Arica,-0.0
373,2,5,Arica,-0.0
374,2,6,Arica,-0.0
375,2,7,Arica,-0.0
376,2,8,Arica,-0.0
377,2,9,Arica,-0.0
378,2,10,Arica,-0.0
379,2,11,Arica,-0.0
380,2,12,Arica,-0.0
381,2,13,Arica,-0.0
382,2,14,Arica,-0.0
383,2,15,Arica,-0.0
384,2,16,Arica,-0.0
385,2,17,Arica,-0.0
386,2,18,Arica,-0.0
387,2,19,Arica,-0.0
388,2,20,Arica,-0.0
389,2,21,Arica,-0.0
390,2,22,Arica,-0.0
391,2,23,Arica,-0.0
392,2,24,Arica,-0.0
393,2,25,Arica,-0.0
394,2,26,Arica,-0.0
395,2,27,Arica,-0.0
396,2,28,Arica,-0.0
397,2,29,Arica,-0.0
398,2,30,Arica,-0.0
399,2,31,Arica,-0.0
400,2,32,Arica,-0.0
401,2,33,Arica,-0.0
402,2,34,Arica,-0.0
403,2,35,Arica,-0.0
404,2,36,Arica,-0.0
405,2,37,Arica,-0.0
406,2,38,Arica,-0.0
407,2,39,Arica,-0.0
408,2,40,Arica,-0.0
409,2,41,Arica,-0.0
410,2,42,Arica,-0.0
411,2,43,Arica,-0.0
412,2,44,Arica,-0.0
413,2,45,Arica,-0.0
414,2,0,Camarones,-0.0
415,2,1,Camarones,-0.0
416,2,2,Camarones,-0.0
417,2,3,Camarones,-0.0
418,2,4,Camarones,-0.0
419,2,5,Camarones,-0.0
420,2,6,Camarones,-0.0
421,2,7,Camarones,-0.0
422,2,8,Camarones,-0.0
423,2,9,Camarones,-0.0
424,2,10,Camarones,-0.0
425,2,11,Camarones,-0.0
426,2,12,Camarones,-0.0
427,2,13,Camarones,-0.0
428,2,14,Camarones,-0.0
429,2,15,Camarones,-0.0
430,2,16,Camarones,-0.0
431,2,17,Camarones,-0.0
432,2,18,Camarones,-0.0
433,2,19,Camarones,-0.0
434,2,20,Camarones,-0.0
435,2,21,Camarones,-0.0
436,2,22,Camarones,-0.0
437,2,23,Camarones,-0.0
438,2,24,Camarones,-0.0
439,2,25,Camarones,-0.0
440,2,26,Camarones,-0.0
441,2,27,Camarones,-0.0
442,2,28,Camarones,-0.0
443,2,29,Camarones,-0.0
444,2,30,Camarones,-0.0
445,2,31,Camarones,-0.0
446,2,32,Camarones,-0.0
447,2,33,Camarones,-0.0
448,2,34,Camarones,-0.0
449,2,35,Camarones,-0.0
450,2,36,Camarones,-0.0
451,2,37,Camarones,-0.0
452,2,38,Camarones,-0.0
453,2,39,Camarones,-0.0
454,2,40,Camarones,-0.0
455,2,41,Camarones,-0.0
456,2,42,Camarones,-0.0
457,2,43,Camarones,-0.0
458,2,44,Camarones,-0.0
459,2,45,Camarones,-0.0
460,2,0,Putre,-0.0
461,2,1,Putre,-0.0
462,2,2,Putre,-0.0
463,2,3,Putre,-0.0
464,2,4,Putre,-0.0
465,2,5,Putre,-0.0
466,2,6,Putre,-0.0
467,2,7,Putre,-0.0
468,2,8,Putre,-0.0
469,2,9,Putre,-0.0
470,2,10,Putre,-0.0
471,2,11,Putre,-0.0
