,camion,comuna,dia,value
0,0,Arica,0,1281.0
1,0,Arica,1,0.0
2,0,Arica,2,0.0
3,0,Arica,3,0.0
4,0,Arica,4,0.0
5,0,Arica,5,0.0
6,0,Arica,6,0.0
7,0,Arica,7,0.0
8,0,Arica,8,0.0
9,0,Arica,9,0.0
10,0,Arica,10,0.0
11,0,Arica,11,0.0
12,0,Arica,12,0.0
13,0,Arica,13,0.0
14,0,Arica,14,0.0
15,0,Arica,15,0.0
16,0,Arica,16,0.0
17,0,Arica,17,0.0
18,0,Arica,18,0.0
19,0,Arica,19,0.0
20,0,Arica,20,0.0
21,0,Arica,21,0.0
22,0,Arica,22,0.0
23,0,Arica,23,0.0
24,0,Arica,24,0.0
25,0,Arica,25,0.0
26,0,Arica,26,0.0
27,0,Arica,27,0.0
28,0,Arica,28,0.0
29,0,Arica,29,0.0
30,0,Arica,30,0.0
31,0,Arica,31,0.0
32,0,Arica,32,0.0
33,0,Arica,33,0.0
34,0,Arica,34,0.0
35,0,Arica,35,0.0
36,0,Arica,36,0.0
37,0,Arica,37,0.0
38,0,Arica,38,0.0
39,0,Arica,39,0.0
40,0,Arica,40,0.0
41,0,Arica,41,0.0
42,0,Arica,42,0.0
43,0,Arica,43,0.0
44,0,Arica,44,0.0
45,0,Arica,45,0.0
46,0,Arica,46,0.0
47,0,Arica,47,0.0
48,0,Arica,48,0.0
49,0,Arica,49,0.0
50,0,Camarones,0,0.0
51,0,Camarones,1,0.0
52,0,Camarones,2,0.0
53,0,Camarones,3,0.0
54,0,Camarones,4,0.0
55,0,Camarones,5,0.0
56,0,Camarones,6,0.0
57,0,Camarones,7,0.0
58,0,Camarones,8,0.0
59,0,Camarones,9,0.0
60,0,Camarones,10,0.0
61,0,Camarones,11,0.0
62,0,Camarones,12,0.0
63,0,Camarones,13,0.0
64,0,Camarones,14,0.0
65,0,Camarones,15,0.0
66,0,Camarones,16,0.0
67,0,Camarones,17,0.0
68,0,Camarones,18,0.0
69,0,Camarones,19,0.0
70,0,Camarones,20,0.0
71,0,Camarones,21,0.0
72,0,Camarones,22,0.0
73,0,Camarones,23,0.0
74,0,Camarones,24,0.0
75,0,Camarones,25,0.0
76,0,Camarones,26,0.0
77,0,Camarones,27,0.0
78,0,Camarones,28,0.0
79,0,Camarones,29,0.0
80,0,Camarones,30,0.0
81,0,Camarones,31,0.0
82,0,Camarones,32,0.0
83,0,Camarones,33,0.0
84,0,Camarones,34,0.0
85,0,Camarones,35,0.0
86,0,Camarones,36,0.0
87,0,Camarones,37,0.0
88,0,Camarones,38,0.0
89,0,Camarones,39,0.0
90,0,Camarones,40,0.0
91,0,Camarones,41,0.0
92,0,Camarones,42,0.0
93,0,Camarones,43,0.0
94,0,Camarones,44,0.0
95,0,Camarones,45,0.0
96,0,Camarones,46,0.0
97,0,Camarones,47,0.0
98,0,Camarones,48,0.0
99,0,Camarones,49,0.0
100,0,Putre,0,0.0
101,0,Putre,1,1281.0
102,0,Putre,2,1281.0
103,0,Putre,3,1281.0
104,0,Putre,4,1281.0
105,0,Putre,5,1281.0
106,0,Putre,6,1281.0
107,0,Putre,7,1281.0
108,0,Putre,8,1281.0
